NTA,Average Total Savings Per Business,Average Jobs Created Per Business
SoHo-TriBeCa-Civic Center-Little Italy,37214,
Battery Park City-Lower Manhattan,469890,
Sunset Park West,14316,
Hunters Point-Sunnyside-West Maspeth,23931,
College Point,17159,2
Carroll Gardens-Columbia Street-Red Hook,24337,
Steinway,11227,20
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,59950,
Hunts Point,39246,12
Bushwick South,26140,10
Manhattanville,2760,
Crown Heights North,4036,
Queensbridge-Ravenswood-Long Island City,61830,
Springfield Gardens South-Brookville,17757,
Mott Haven-Port Morris,17843,3
Maspeth,6658,10
park-cemetery-etc-Brooklyn,14327,
Greenpoint,9753,
East Williamsburg,13990,
East New York,48433,15
